"","id","latitude","longitude","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id"
"226",6204121,46.9227790833,6.6227779388,"Stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"227",6233457,50.93019646,4.33214966,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"228",6282766,45.6844209999,9.3428612128,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"229",6283570,45.639549,9.33068,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"230",6284199,45.6721375,9.4926417,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"231",6284276,45.7224960327,9.6487913132,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"232",6285149,45.6913933333,9.0469016667,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"233",6299569,45.1631700489,10.8094200119,"Urtica dioica","Urtica dioica","stinging nettle","Plantae",51884
"234",6299819,45.5379517636,9.2071104034,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"235",6301711,44.6803217089,14.7542134186,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"236",6307603,51.450675,-0.2364716667,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"237",6315263,51.0888290405,3.7198123932,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"238",6315714,48.1494674273,11.5878263209,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"239",6316438,45.1629498892,10.8094918048,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"240",6320092,45.81757161,9.02474,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"241",6330939,47.3868794879,8.5127130803,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"242",6354978,48.223225,11.1565138889,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"243",6356945,50.7671928406,12.9316701889,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"244",6402438,49.7146687442,19.2674821615,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"245",6443093,51.0888129474,12.6400714648,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
